"id","race","sex","age","juv_fel_count","juv_misd_count","priors_count","charge_degree","compas_risk_score","two_year_recid","compas_binary_class","random_split"
1,"other",0,69,0,0,0,1,1,0,0,"train"
3,"black",0,34,0,0,0,1,3,1,0,"test"
4,"black",0,24,0,0,4,1,4,1,0,"train"
5,"black",0,23,0,1,1,1,8,0,1,"test"
6,"other",0,43,0,0,2,1,1,0,0,"test"
7,"other",0,44,0,0,0,0,1,0,0,"train"
8,"white",0,41,0,0,14,1,6,1,1,"train"
9,"other",0,43,0,0,3,1,4,0,0,"test"
10,"white",1,39,0,0,0,0,1,0,0,"train"
13,"white",0,21,0,0,1,1,3,1,0,"train"
14,"white",0,27,0,0,0,1,4,0,0,"test"
15,"black",0,23,0,0,3,0,6,1,1,"train"
16,"white",1,37,0,0,0,0,1,0,0,"test"
18,"black",0,41,0,0,0,1,4,0,0,"train"
19,"white",1,47,0,0,1,1,1,1,0,"train"
20,"black",0,31,0,0,7,1,3,1,0,"test"
21,"hispanic",0,37,0,0,0,0,1,0,0,"train"
22,"black",0,25,0,0,3,1,10,0,1,"train"
23,"white",0,31,0,0,6,1,5,1,1,"train"
24,"white",0,31,0,0,5,1,3,1,0,"test"
25,"black",0,64,0,0,13,1,6,1,1,"test"
26,"black",0,21,0,0,1,1,9,1,1,"test"
27,"white",0,27,0,0,0,0,2,1,0,"train"
28,"white",1,21,0,0,0,1,4,0,0,"test"
30,"hispanic",0,24,0,0,1,1,4,1,0,"train"
32,"white",0,43,0,0,1,0,1,0,0,"test"
33,"other",0,32,0,0,0,0,3,0,0,"train"
37,"black",0,27,0,0,8,1,3,1,0,"train"
38,"white",1,36,0,0,3,1,3,0,0,"train"
39,"black",0,26,0,0,5,1,7,1,1,"train"
40,"black",0,33,0,0,0,1,10,1,1,"test"
41,"white",0,30,0,0,9,1,9,1,1,"test"
42,"black",0,32,0,0,4,1,8,1,1,"test"
45,"white",0,55,0,0,0,1,1,0,0,"test"
50,"other",0,49,0,0,7,1,3,1,0,"train"
51,"white",0,26,0,0,6,0,8,0,1,"train"
52,"white",1,33,0,0,4,0,5,1,1,"test"
53,"white",0,24,0,0,1,0,2,1,0,"train"
54,"black",0,34,2,1,21,1,9,1,1,"train"
55,"white",0,29,0,0,0,0,2,0,0,"train"
56,"black",1,21,0,0,2,1,8,0,1,"train"
57,"black",0,51,0,0,2,0,1,0,0,"train"
59,"white",0,29,0,0,2,0,2,1,0,"train"
61,"black",1,51,0,0,7,1,2,0,0,"train"
64,"black",0,29,0,0,0,1,7,1,1,"train"
66,"white",0,25,0,0,9,0,10,1,1,"train"
67,"black",0,35,1,0,13,1,8,1,1,"train"
68,"white",0,49,0,0,0,0,1,0,0,"train"
69,"black",0,34,0,0,4,0,3,1,0,"train"
70,"black",0,29,0,0,0,1,4,0,0,"test"
71,"white",0,29,0,0,1,1,2,1,0,"train"
72,"other",1,28,0,0,0,1,2,0,0,"train"
75,"white",0,48,0,0,20,1,6,1,1,"test"
77,"hispanic",1,63,0,0,1,1,1,0,0,"train"
79,"black",0,31,0,0,15,1,5,0,1,"train"
80,"black",0,24,0,0,2,1,4,1,0,"train"
83,"hispanic",0,30,0,0,0,0,7,0,1,"train"
84,"black",0,49,0,0,4,0,1,0,0,"test"
85,"white",0,53,0,0,8,1,5,0,1,"test"
87,"black",0,35,0,0,5,1,3,0,0,"train"
88,"black",0,63,0,0,10,0,7,1,1,"train"
90,"black",0,27,1,1,15,1,10,1,1,"train"
91,"white",0,38,0,0,4,0,2,1,0,"train"
93,"black",0,22,0,0,1,1,4,1,0,"train"
95,"black",0,22,0,1,2,1,10,1,1,"test"
96,"black",0,29,0,0,4,1,9,1,1,"train"
97,"hispanic",0,62,0,0,0,0,1,0,0,"test"
98,"black",0,27,0,1,6,1,6,1,1,"test"
99,"other",0,33,0,0,0,0,1,0,0,"test"
100,"black",1,56,0,0,0,0,1,0,0,"train"
101,"hispanic",0,45,0,0,6,1,1,1,0,"test"
102,"hispanic",0,22,0,0,1,1,4,0,0,"train"
105,"black",0,39,0,0,1,0,4,0,0,"test"
107,"black",0,29,0,0,5,1,6,1,1,"train"
108,"white",0,27,0,0,1,1,6,1,1,"train"
111,"black",0,40,0,0,2,1,2,0,0,"train"
113,"black",0,22,0,0,1,0,3,1,0,"train"
114,"white",0,22,0,0,0,1,8,0,1,"train"
115,"black",1,26,0,0,1,1,4,1,0,"train"
116,"white",0,27,0,0,1,1,7,1,1,"train"
119,"black",0,32,0,0,0,1,2,0,0,"train"
120,"black",0,41,0,0,1,0,2,0,0,"test"
122,"black",0,30,0,0,8,0,10,1,1,"train"
127,"other",0,50,0,0,0,1,1,1,0,"test"
128,"black",0,25,1,6,14,1,10,1,1,"train"
130,"other",0,20,0,0,0,1,5,1,1,"train"
131,"black",0,22,1,0,2,1,9,1,1,"test"
132,"black",0,23,0,0,2,0,7,1,1,"test"
136,"black",1,35,0,0,1,0,2,0,0,"test"
137,"black",0,36,0,0,9,1,7,1,1,"train"
138,"white",0,26,0,0,7,1,8,1,1,"train"
139,"other",0,21,0,0,1,1,6,1,1,"train"
142,"white",0,25,0,0,9,1,8,1,1,"train"
143,"black",0,71,0,0,12,0,7,0,1,"train"
145,"white",1,20,0,0,0,1,7,0,1,"train"
146,"white",0,39,0,0,2,1,1,1,0,"train"
147,"white",0,66,0,0,3,1,1,0,0,"test"
148,"white",1,54,0,0,0,0,1,0,0,"train"
150,"hispanic",1,44,0,0,0,0,1,0,0,"train"
151,"black",0,19,0,0,1,0,4,1,0,"train"
152,"black",0,24,0,0,1,1,2,0,0,"train"
153,"black",0,30,0,0,1,1,2,0,0,"train"
154,"white",1,39,0,0,0,1,1,1,0,"train"
156,"white",0,24,0,1,8,1,6,1,1,"test"
157,"white",0,30,0,0,0,1,4,0,0,"train"
158,"white",0,31,0,0,0,0,5,0,1,"test"
159,"white",1,39,0,0,1,1,4,0,0,"test"
160,"black",0,59,0,0,14,1,9,1,1,"train"
163,"white",0,43,0,0,1,1,1,0,0,"train"
166,"black",0,21,0,0,3,1,9,1,1,"train"
169,"white",0,38,0,0,5,0,4,1,0,"test"
171,"white",0,34,0,0,0,1,5,0,1,"train"
173,"black",0,33,0,0,5,1,5,1,1,"train"
174,"black",0,37,0,0,3,1,2,0,0,"test"
175,"white",0,42,0,0,1,1,2,1,0,"test"
176,"black",0,41,0,1,10,1,9,1,1,"train"
177,"black",0,22,0,0,0,1,4,1,0,"train"
178,"black",0,33,0,12,28,1,8,1,1,"test"
180,"black",0,31,0,0,1,0,7,0,1,"train"
182,"other",1,30,0,0,1,1,2,0,0,"train"
183,"white",0,31,0,0,13,1,10,1,1,"train"
184,"black",0,27,0,0,3,1,9,1,1,"train"
187,"black",0,56,0,0,8,1,9,0,1,"train"
189,"white",0,52,0,0,3,0,9,0,1,"train"
190,"black",0,33,0,0,19,1,10,1,1,"train"
192,"white",1,64,0,0,2,0,1,0,0,"test"
193,"white",0,22,0,0,4,1,6,1,1,"train"
194,"white",0,42,0,0,6,1,3,0,0,"train"
195,"white",1,25,0,0,2,1,4,0,0,"train"
197,"white",0,30,0,0,1,0,2,0,0,"test"
199,"white",0,28,0,0,2,1,1,0,0,"train"
200,"other",1,37,0,0,2,0,2,0,0,"test"
202,"white",0,28,0,0,0,0,2,1,0,"test"
203,"black",1,24,0,0,0,0,2,0,0,"test"
206,"white",1,29,0,1,10,1,4,1,0,"train"
208,"white",0,44,0,0,2,0,2,1,0,"train"
209,"hispanic",1,30,0,0,4,1,5,1,1,"test"
210,"black",0,32,0,0,3,1,7,1,1,"test"
213,"white",0,31,0,0,2,0,3,1,0,"test"
215,"black",0,31,0,0,1,0,2,0,0,"train"
216,"white",0,59,0,0,1,1,2,1,0,"train"
218,"white",1,45,0,0,4,1,4,0,0,"train"
220,"black",1,20,1,0,1,1,10,0,1,"train"
